InfraredT,H,RollAngle,PitchingAngle,HeadingAngle,GPS,LowSpeed,A_10,A_10_2,A_30,A_30_2,A_30_10,A_30_MAX,A_80,A_80_2,A_80_10,A_100,A_100_2,A_100_10,A_1_2_T,A_30_T,A_80_T,A_100_T,A_10_T,A_1_5_H,A_30_H,A_80_H,A_100_H
24.9,599.75,2.217347,-1.420935,-54.1617,-58.676608,20.821,2.4,2.3,2.3,2.8,3.1,3.6,4,4.1,4.3,4.4,4.4,4.5,24.1,24.1,23.5,23.5,24.1,88,86,86,95
24.6,600.03,0.80787,-1.575634,-54.602878,-59.020382,21.093,2.3,2.2,2.5,2.7,3,3.6,3.4,3.9,4.2,4.6,4.2,4.4,24.1,24.1,23.6,23.6,24.1,88,86,86,96
25.6,600.03,0.80787,-1.575634,-54.602878,-59.020382,21.093,2.5,2.3,2.7,2.7,3,3.6,3.7,3.9,4.1,4,4.1,4.3,24.1,24.1,23.7,23.5,24.1,88,86,86,97
24.9,600.03,0.80787,-1.575634,-54.602878,-59.020382,21.093,2.4,2.4,3.1,2.8,2.9,3.6,3.8,3.9,4.1,4.5,4.3,4.3,24.1,24.1,23.6,23.5,24.1,88,86,86,97
24.7,599.79,0.509932,-0.95111,-53.187672,-57.341616,20.889,1.9,2.2,3.1,2.8,2.9,3.6,4,3.7,4,4.3,4.3,4.3,24.1,24.1,23.6,23.5,24.1,88,86,87,97
25.6,599.79,0.509932,-0.95111,-53.187672,-57.341616,20.889,2.5,2.4,2.9,2.8,2.9,3.6,4.3,3.8,4,4.5,4.3,4.3,24.1,24.1,23.6,23.4,24.1,88,86,87,97
24.9,599.79,0.509932,-0.95111,-53.187672,-57.341616,20.889,2.5,2.5,2.8,2.8,2.9,3.6,3.5,3.7,3.9,3.8,4,4.2,24.1,24.1,23.6,23.5,24.1,88,86,87,97
24.7,599.83,1.380828,-1.2204,-55.147188,-58.567746,20.531,2.2,2.3,2.7,2.7,2.8,3.6,4,3.7,3.9,4.5,4.1,4.2,24.1,24.1,23.6,23.5,24.1,88,86,87,97
25.6,599.83,1.380828,-1.2204,-55.147188,-58.567746,20.531,2.4,2.3,3.3,2.9,2.8,3.6,4.3,4.1,3.9,4.6,4.4,4.3,24.1,24.1,23.4,23.3,24.1,88,86,87,96
24.8,599.83,1.380828,-1.2204,-55.147188,-58.567746,20.531,2.4,2.3,3.1,3,2.9,3.6,4.1,4,3.9,4,4.1,4.2,24.1,24,23.5,23.4,24.1,88,86,86,96
24.6,599.74,1.793358,-1.117268,-54.213267,-58.178135,20.356,2,2.4,3.1,3.2,2.9,3.6,4.1,4,4,4.4,4.2,4.2,24.1,24,23.6,23.5,24.1,88,86,87,97
25.7,599.74,1.793358,-1.117268,-54.213267,-58.178135,20.356,2.1,2.1,2.7,3,2.9,3.6,4.2,4.1,4,4.5,4.4,4.3,24.1,24,23.5,23.3,24.1,88,86,87,96
24.8,600.02,0.297938,-1.63293,-53.726252,-57.708309,20.424,2.2,2.1,3.6,3.1,3,3.6,4.4,4.2,4,4.3,4.3,4.3,24.1,24,23.5,23.5,24.1,88,86,86,96
24.6,600.02,0.297938,-1.63293,-53.726252,-57.708309,20.424,3.1,2.6,3.2,3.3,3,3.6,4,4.1,4.1,4,4.2,4.3,24.1,24,23.5,23.4,24.1,88,86,86,96
25.6,600.02,0.297938,-1.63293,-53.726252,-57.708309,20.424,2.3,2.5,2.6,3,3,3.6,4,4.2,4.1,4.4,4.3,4.3,24.1,24,23.5,23.5,24.1,88,86,86,96
24.9,600,0.658901,-1.008406,-55.977977,-60.962709,20.569,2.8,2.6,2.7,3,3,3.6,3.9,4,4,4.5,4.3,4.3,24.1,24,23.6,23.5,24.1,88,86,87,97
24.6,600,0.658901,-1.008406,-55.977977,-60.962709,20.569,2,2.3,3.2,3,3,3.6,4.1,4.1,4.1,4.4,4.4,4.3,24.1,24,23.5,23.5,24.1,88,86,87,97
25.6,600,0.658901,-1.008406,-55.977977,-60.962709,20.569,2.7,2.3,2.5,2.8,2.9,3.6,4,3.9,4,4,4,4.2,24.1,24,23.6,23.5,24.1,88,86,87,97
24.9,600,0.658901,-1.008406,-55.977977,-60.962709,20.569,2.7,2.3,3.4,3,3,3,3.9,3.8,4,4,4,4.2,24.1,24,23.6,23.5,24.1,88,87,87,98
24.6,599.96,0.080214,-1.695955,-54.127323,-58.957357,20.481,2,2.2,2.5,2.8,2.9,3,4.2,3.8,3.9,4.1,4,4.1,24.1,24,23.6,23.5,24.1,88,87,87,99
25.6,599.96,0.080214,-1.695955,-54.127323,-58.957357,20.481,2.7,2.6,3.4,3.1,3,3,4.2,4.1,4,4.2,4.1,4.1,24.1,24,23.5,23.4,24,88,87,88,99
